timestamp,mid,cash,inventory,turnover,realized_pnl,mtm_pnl
1722470901998865,0.01105505,-22.19129369556466,2000.0,88.40132037956803,-22.19129369556466,-0.08119369556466083
1722471401954092,0.01108035,-22.183202045652394,2000.0,110.48868449409112,-22.183202045652394,-0.022502045652394997
1722471901956450,0.011007949999999999,-55.27974743073541,5000.0,143.58522987917414,-55.27974743073541,-0.23999743073541424
1722472401998316,0.01104165,-33.223768375181216,3000.0,209.6167078931626,-33.223768375181216,-0.09881837518121728
1722472901970235,0.01109895,-33.223768375181216,3000.0,209.6167078931626,-33.223768375181216,0.07308162481878355
1722473401973035,0.01107465,-44.272159248503115,4000.0,264.8862586716223,-44.272159248503115,0.026440751496885184
1722473901998135,0.01111645,-44.272159248503115,4000.0,264.8862586716223,-44.272159248503115,0.1936407514968863
1722474401993537,0.011096149999999999,-22.025349004267877,2000.0,309.3992895741453,-22.025349004267877,0.16695099573212246
1722474901971195,0.01101815,-33.095172058198386,3000.0,364.586456400526,-33.095172058198386,-0.04072205819838359
1722475401975971,0.01098115,-22.047096171112692,2000.0,441.5959215387341,-22.047096171112692,-0.08479617111269278
1722475901961236,0.01100285,-10.992385915390956,1000.0,474.60215470445615,-10.992385915390956,0.010464084609044022
1722476401958182,0.01100895,-21.775054227397202,2000.0,639.1632082339495,-21.775054227397202,0.2428457726027986
1722476901961653,0.01108795,55.650965346898,-5000.0,805.2980130931948,55.650965346898,0.21121534689800114
1722477401970795,0.01106365,33.571654802832015,-3000.0,871.7114069484718,33.571654802832015,0.3807048028320139
1722477901970966,0.01105475,33.63049750907154,-3000.0,938.0581593595076,33.63049750907154,0.4662475090715361
1722478401956349,0.01110075,11.548592900193146,-1000.0,982.320987406036,11.548592900193146,0.4478429001931463
1722478901991310,0.01100055,55.60064352860409,-5000.0,1092.7780500121844,55.60064352860409,0.5978935286040894
1722479401986899,0.01100715,66.64522741707916,-6000.0,1169.8025803203077,66.64522741707916,0.6023274170791524
1722479901972550,0.01104155,66.64522741707916,-6000.0,1169.8025803203077,66.64522741707916,0.39592741707915025
1722480401983862,0.011000349999999999,55.62624464682944,-5000.0,1247.018929826345,55.62624464682944,0.6244946468294472
1722480901996935,0.01102895,22.556300269808162,-2000.0,1280.0888742033662,22.556300269808162,0.49840026980816177
1722481401987945,0.010982249999999999,33.58760370122158,-3000.0,1313.1062091390759,33.58760370122158,0.6408537012215874
