timestamp,mid,cash,inventory,turnover,realized_pnl,mtm_pnl
1722470501960533,0.01104015,22.06171490761887,-2000.0,44.14871490761887,22.06171490761887,-0.018585092381130153
1722470601987035,0.01107275,-11.11471110830085,1000.0,77.32514092353858,-11.11471110830085,-0.041961108300851535
1722470701971879,0.01109955,-11.11471110830085,1000.0,77.32514092353858,-11.11471110830085,-0.015161108300851822
1722470801975208,0.01110195,-11.11471110830085,1000.0,77.32514092353858,-11.11471110830085,-0.012761108300852086
1722470901998865,0.01105505,-22.19124498899089,2000.0,88.40167480422862,-22.19124498899089,-0.08114498899088929
1722471002000141,0.01109195,-22.19124498899089,2000.0,88.40167480422862,-22.19124498899089,-0.007344988990890755
1722471101968568,0.01107645,-22.19124498899089,2000.0,88.40167480422862,-22.19124498899089,-0.03834498899088956
1722471201953633,0.01105095,-22.19124498899089,2000.0,88.40167480422862,-22.19124498899089,-0.08934498899088794
1722471301974421,0.01105685,-22.19124498899089,2000.0,88.40167480422862,-22.19124498899089,-0.07754498899088702
1722471401954092,0.01108035,-22.183460907230554,2000.0,110.48824140717588,-22.183460907230554,-0.02276090723055546
1722471501955072,0.01103805,-22.183460907230554,2000.0,110.48824140717588,-22.183460907230554,-0.10736090723055369
1722471602000897,0.01104295,-22.183460907230554,2000.0,110.48824140717588,-22.183460907230554,-0.09756090723055522
1722471701978341,0.01104345,-33.225712714491785,3000.0,121.53049321443712,-33.225712714491785,-0.09536271449178457
1722471801989613,0.01101605,-55.27946498420586,5000.0,143.58424548415118,-55.27946498420586,-0.19921498420585948
1722471901956450,0.011007949999999999,-55.27946498420586,5000.0,143.58424548415118,-55.27946498420586,-0.23971498420586101
1722472001955769,0.01100425,-55.27946498420586,5000.0,143.58424548415118,-55.27946498420586,-0.258214984205857
1722472101952826,0.01099575,-44.27639333770012,4000.0,154.5873171306569,-44.27639333770012,-0.2933933377001168
1722472201972685,0.01098655,-22.26150729069822,2000.0,176.60220317765882,-22.26150729069822,-0.28840729069822046
1722472301985335,0.01101505,-22.26150729069822,2000.0,176.60220317765882,-22.26150729069822,-0.2314072906982183
1722472401998316,0.01104165,-11.236926109513517,1000.0,187.62678435884354,-11.236926109513517,-0.19527610951351626
1722472501988547,0.01105245,-11.236926109513517,1000.0,187.62678435884354,-11.236926109513517,-0.18447610951351656
1722472601997483,0.01108795,-11.236926109513517,1000.0,187.62678435884354,-11.236926109513517,-0.14897610951351759
1722472701986538,0.01108605,-11.236926109513517,1000.0,187.62678435884354,-11.236926109513517,-0.1508761095135167
